dia_chi,hotline,ten,website
" 166 Bàn Cờ, Phường 03, Quận 3, Hồ Chí Minh", 0908350755,"Linh Vy Boutique shop - chuyên hàng xách tay Hàn, Mỹ, Đức, Nhật ", Linhvyboutiqueshop 
 Thôn Lương Ngọc - xã Thúc Kháng - huyện Bình Giang - tỉnh Hải Dương, 0971 543 009,MaiNomi - Trang sức vàng bạc uy tín với nét thiết kế riêng độc đáo,
" 42-44 Ấp Bắc, P.13, Q. Tân Bình, Tp. HCM", 090 960 61 18,ECO TRUE MART - Siêu Thị Tiện Ích,https://www.facebook.com/ECO-True-Mart-104034935519155
" Tổ 4 p. Chiềng Sinh, Tp. Sơn La, Tỉnh Sơn La", 0975 635 885,SaNa - Thương hiệu phân phối thực phẩm bổ sung cho bé uy tín hàng đầu Việt Nam, SaNathegioisuatot
" 18 Nơ Trang Long, Phường Tân Bình, Đồng Xoài, Bình Phước","
                                            , ,
                                        ","Đại lý sữa Thanh Tú - Niềm tin cho mẹ, sức khoẻ cho con ",
 , 0826388886,Alo Dental - Cửa hàng thiết bị phòng khám nha khoa,
" Số 8/88 Huỳnh Tấn Phát, khu phố Hiệp Lễ, P Hiệp Ninh, TP. Tây Ninh"," 885, Cách Mạng Tháng 8, phường 7 Tân Bình, TP. Hồ Chí Minh","Phúc An Bakery - Bánh kẹo Việt, Hương vị Việt ",PhucAnBakery 
" 171 Lâm Văn Bền, Bình Thuận, Quận 7, Thành phố Hồ Chí Minh", 0973401051,Tấm Bakery - Sự lựa chọn hoàn hảo cho những tín đồ bánh ngọt ,tambakery.vn.hochiminh/
" 1F Liên tỉnh 5, Phường 05, Quận 8, Hồ Chí Minh ", 0888070308  ,Parfumerie - Thương hiệu phân phối nước hoa chính hãng uy tín tại Hồ Chí Minh,parfumerie.vn 
" 102- 104 Trần Nguyên Đán -phường 3 - Quận Bình Thạnh, Hồ Chí Minh", 08 8686 4848,Ra Khơi Seafood & Beer - thưởng thức các món hải sản tươi rói,rakhoiseafoodbeer 
 ," T1.4, Toà COMPLEX 01, số 29 ngách 31 ngõ 167 Tây Sơn, P.Quang Trung, Q.Đống Đa, Hà Nội",Tiệm tạp hoá nhà May -  Nơi bạn được thỏa mãn niềm yêu thích sáng tạo và may vá,
 ," 76 - 77/1 Đường Nguyễn Ái Quốc, Khu Phố 8A, Phường Tân Biên, Thành phố Biên Hòa, Đồng Nai","Cửa hàng Trang Thu - Hàng gia dụng, mỹ phẩm",
" 680 Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp HCM", ,Picko Skinfood - nhà phân phối mỹ phẩm chính hãng Hàn Quốc tại Việt Nam,
 ," 28 Vân Côi, Phường 7, Quận Tân Bình, TP. HCM",Khô Nhà Ngoại - Sản phẩm đồ khô 100% thủ công không chất bảo quản ,
" 140 Phan Thanh, Q.Thanh Khê, Đà Nẵng, Việt Nam", 0906858652  ,Cửa hàng mỹ phẩm Mila de Beaute,https://shopee.vn/mila.de.beaute.140
" Diễn Pháp, Diễn Châu, Nghệ An", 096 361 92 79,Siêu thị sữa Kid Baby Hoàng Nguyên - Địa chỉ tin cậy cho mẹ và bé, SIEUTHISUAKIDBABY
 091 152 63 63," 7A/33/5 Thành Thái, Phường 14, Quận 10, Hồ Chí Minh","Ăn vặt Sài Gòn 1992 - Quán ăn vặt ngon, bổ, rẻ tại Quận 10 TPHCM",
" 379C Nguyễn Văn Tư, Phường 7, Thành phố Bến Tre, Tỉnh Bến Tre", 0888 818 899,Kẹo dừa Bến Tre cô Hai Tỏ - Hương vị tinh tế từ dừa tự nhiên,https://www.bentredonga.com
" 407/42/45 Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh", 0337 441 424 ,TL Family - Thực phẩm bổ dưỡng cho sức khỏe, profile.php?id=100085185906635
 091 848 11 66,"
                                            , ,
                                        ","Em Fresh - Bữa ăn lành mạnh, sống phong cách",https://emfresh.vn/ 
"  Cư xá Đồng Tiến, Phường 14, Quận 10 Thành phố Hồ Chí Minh", 090 998 15 86,Bếp Mỡ Mỡ - Chuyên sỉ lẻ đồ ăn vặt hot trend , bepmomo.homemade/?ref=page_internal
" 569  Âu Cơ, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh", 098 106 56 40,Gà Bang Chủ - Vị ngon vang danh thiên hạ,Amthucbangchulau 
"  666/10 Đường 3/2, Phường 14, Quận 10, TP. HCM", 090 908 80 79,Herana Cometics - Mang đến vẻ đẹp rạng ngời cho bạn,heranahcm/ 
" 232/1A Cao Thắng, Phường 12, Quận 10, Thành phố Hồ Chí Minh", 0764 017 408,HOA BEAUTY LASHES - Thương hiệu đứng đầu ngành làm mi ,hoabeautylashesvn
" 38 Tân Sơn Nhì, P. Tân Sơn Nhì, Q. Tân Phú, Tp. Hồ Chí Minh", 098 688 11 05,"Bác 2 Voi - Gà Ủ Muối đậm vị, chất lượng hàng đầu Sài Gòn",Bac2Voi.Ga.Ri.U.Muoi.Nguyen.Con?locale=vi_VN
" LK 10-8 Tổng cục 5 Yên Xá, Xã Tân Triều, Huyện Thanh Trì",  02473036822,Công ty cổ phần dược phẩm Happy Phar  ,https://happyphar.com/
" 09A cách mạng Tháng 8, 772 Phạm Văn Đồng, Pleiku, Gia Lai", 091 982 43 58,"Mai Nguyễn - Nguyên liệu pha chế cao cấp, chính hãng", NLPCMaiNguyen/
" Khu phố Yên Phong, Hàng Trạm, Yên Thủy, Hòa Bình", 096 837 63 33,"Bơ Baby Shop - Thời trang, phụ kiện trẻ em cao cấp", BoBabyShop68/
" 542 Bà Triệu, Đông Kinh, Lạng Sơn"," 50 khu Dây Thép, Đồng Đăng, Lạng Sơn",Shop Tom Baby - Thế giới của bé,
" Đường Nguyễn Công Thành, Phường Hòa Mạc, Thị xã Duy Tiên, Hà Nam", 098 835 57 98,Thủy Cường Fruits - Hoa quả tươi nhập khẩu, profile.php?id=100086032826163 
" Nguyễn Khắc Tính, Buôn Ma Thuật, Đắk Lắk.", 0903508081,Tuyền BMT - Sản Phẩm Làm Đẹp Uy Tín Tại Đắk Lắk,
" Số 710 Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội", 0934 98 0000 , JENNY SHOP - Cung cấp mỹ phẩm chất lượng từ các thương hiệu hàng đầu,MyPham.Jennyshopp.710bachdang
" Số 57 đường 30 tháng 4, phường 3, TP. Tây Ninh, Tây Ninh, Vietnam", 085 757 3004,Bánh tráng chị Hằng -  Hương vị Tây Ninh với cách làm sáng tạo,profile.php?id=100068720634997
" 26 Hoàng Cầu, Quận Đống Đa, Hà Nội","
                                                , ,
                                            ",Propercorn - Thương hiệu bỏng ngô chuyên nghiệp đầu tiên tại Việt Nam,https://propercorn.com.vn
"
                                ,
                                ,
                                ,
                            ",,HaiHangDuc - Sỉ lẻ đồ tiêu dùng Đức chất lượng ,
" Khu đô thị sinh thái Lam Hạ, phường Lam Hạ, Phủ Lý, Hà Nam"," CT2 Vimeco Nguyễn Chánh, Cầu Giấy, Hà Nội",Shop mẹ Chin - Chuyên máy hút sữa chính hãng,
"  Hải Xuân, Hải Hậu, Nam Định", 0965.654.309,Lily shop - Thời trang trẻ em hiện đại, Lily0971356033/
" Số 83 Lê Hồng Phong, Ayunpa, Gia Lai", 098 871 81 79,Cửa hàng sữa Việt Nhi - Tất cả vì con yêu, cuahangsuaVietNhi/
" PS1, 5A KĐT Zen Village, Tổ 12, Hữu Nghị, Hòa Bình", 0977319692,Mẹ và bé 28 - Tổng kho bán buôn bán lẻ đồ trẻ em giá tốt,profile.php?id=100083146797143
 0969753515, ,Nous HCM - Thương hiệu thời trang trẻ em uy tín hàng đầu Việt Nam,
" Số 227 Quang Trung, Huyện Kbang, Gia Lai"," Số 1 Hai Bà Trưng, Huyện Kbang, Gia Lai","Cửa hàng sữa Văn Tiện - Chất lượng đảm bảo, uy tín lên cao", CuahangsuaVanTien
" Vườn Địa Đàng, Đắk Nông", ,LalaFarm - Sản Phẩm Của Những Người Mộng Mơ Và Thiên Nhiên,
" 267 Nguyễn Thị Định, Bình Trưng Tây, Quận 2", 0931878435,"Bánh tráng Hoàng Dũng - chuyên sỉ lẻ các loại bán tráng, đồ ăn vặt", profile.php?id=100063128865228
"
                                            , ,
                                        ","
                                            , ,
                                        ",Bích Liễu - Kho Gia Dụng Và Đồ Sơ Sinh Giá Rẻ,
" 22 - 24 Đoàn Nguyễn Tuấn, phường Đề Thám, TP Thái Bình."," 152 Trần Hưng Đạo, phường Đề Thám, TP Thái Bình.",Hằng Nguyễn Shop - Siêu Thị Thu Nhỏ Chuyên Sỉ Lẻ Các Mặt Hàng,
" 153 Nguyễn du, Nam Định, Vietnam", 091 893 35 56,Hà Thành rượu nhập khẩu - Mang cảm xúc từ Châu Âu đến Thành Nam,
" 43 Nguyễn Sơn, P.Thạnh, T.Phú", 0937789288,Mint’s Closet - Tinh hoa thời trang trẻ em ,https://mintscloset.com.vn/
" 173/5 Phạm Phú Thứ, Phường 11, Tân Bình, TP Hồ Chí Mình", ,Hebekery - Thực phẩm chăm sóc sức khoẻ và sắc đẹp,
" 99 Tiểu Hoàng,TT Tiền hải, Thái Bình.", 0964530134,Ngọc Huệ Shop - Chuyên body hình thú đáng yêu cho bé, chuyensibodythu
" Số 2A Ngõ 57 Đường Xuân Hòa Tổ 24 Phan Đình Phùng TPTN, Thái Nguyên", 0868 871 886,Tổng kho Huyền Trần - Chuyên bán buôn bán lẻ hàng gia dụng,
 0936901789, ,Banhngot.vn - Bánh kem hương vị Việt nổi tiếng tại Việt Nam,banhngotsinhnhat
" 365 Hai Bà Trưng, Phường 8, Quận 3, TP.HCM", 02838292590,Như Lan - Tiệm bánh mang hương vị quê nhà,https://trungthunhulan.vn/
" 505 đường Trung Mỹ - Tân Xuân, ấp Chánh 2, xã Tân Xuân, huyện Hóc Môn, Tp. Hồ Chí Minh", 0332344914,GUfoods - Cảm hứng ăn kiêng từ hạt gạo lứt,https://www.gufoods.com/
" 76/5 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp. Hồ Chí Minh","
                                                , ,
                                            ",Zhangfoods - Thực phẩm bánh dinh dưỡng mang phong cách Châu Âu ,https://zhangfoods.com/
" Xóm 2 - xã Hải Vân - huyện Hải Hậu, Nam Định", 0228 3777 115,Phòng khám đa khoa Kim Thành - Đồng hành cùng sức khỏe gia đình bạn, pkdkkimthanh
" Cửa Hàng MT MART, Số nhà 390A, Tổ 16, Phường Minh Khai, Thành Phố Bắc Kạn, Tỉnh Bắc Kạn.", 033 992 8118,Trung tâm mua sắm Minh Thường - MT Group,
" số 8 Quang Trung, Hà Đông", 0943 199 699,"Sapo Bakery - Bánh tươi mỗi ngày, an toàn vì sức khỏe cộng đồng",https://sapobakery.com
  035 639 9063,"
                                            , ,
                                        ",Hồng Ngự - Kho sỉ đồ ăn vặt tuyệt vời cho tâm hồn ăn uống ,
 ,"  415 đường 30/4, Tổ 94, Khu 8, Phường Phú Thọ, TP. Thủ Dầu Một, Tỉnh Bình Dương","CP Fresh Shop – Cửa hàng thực phẩm sạch, uy tín và chất lượng",
" Đội 1, Trực Thái, Trực Ninh , Nam Định","
                                            , ,
                                        ",Siêu thị sữa Trực Thái,
 0896125135,"
                                                , ,
                                            ", Uni Japan - Địa chỉ tin cậy mua sắm hàng Nhật nội địa chất lượng,https://unijapan.com.vn/
" Huyện Hòa Thành, Tây Ninh","
                                ,
                                ,
                                ,
                            ",CH Anh Thư - Chuyên cung cấp các loại sữa cho trẻ và đồ gia dụng,
" 16A Lê Hồng Phong, Phường 12, Quận 10, Tp HCM", 0906761509,Pretty.Tips - Nâng tầm vẻ đẹp của bạn với sản phẩm chất lượng ,PrettytipsVietnam
"  Số 29C Ngõ 420 Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội", 0922.08.08.89,Sam House Shop -  Baby Kids Clothing,SamHouse.Shop/ 
 ,"
                                                , ,
                                            ", Nhà Gạo - Bánh kẹo handmake Healthy ,
 Gần cầu Bo - xã Yên Chính - huyện Ý Yên - tỉnh Nam Định, 0962739395,Thế giới sữa HLV - Cửa hàng bỉm sữa lớn nhất khu vực xã Yên Thắng, profile.php?id=100066308269362
" Chợ Đập, Xã Hải Xuân, Huyện Hải Hậu, Nam Định", 096 387 89 09,Hải sản Phương Diệu - Bán buôn hải sản lớn nhất khu vực chợ Đập, profile.php?id=100078081117808
  121 C10 phố Phương Mai - Đống Đa - Hà Nội, 0914.102.381,"Thiết bị y tế Hảo Anh - Phân phối dụng cụ, sản phẩm, vật tư y tế",https://ytehaoanh.vn/
"
                                            , ,
                                        ",  0705 255 799 ,Siêu Thị Hữu Nghị - Điểm đến cho sản phẩm nội địa Trung tuyệt vời,
" Số 11, ngách 1/52, ngõ 1 phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội", 0982 037 372 / 0369 794 317,Riami Food - Công ty kinh doanh thực phẩm nhập khẩu,https://riamifood.com/
 0369048201,"
                                ,
                                ,
                                ,
                            ",Bảo An Shop - Chuyên Sản Phẩm Nội Địa Thái Lan,
" Tổ 3, ấp 18 Gia Đình, Xã Bảo Quang, Thành phố Long Khánh, Đồng Nai", ,Minh Huy Food - Hoa quả sấy khô,profile.php?id=100086425577069
 038 593 8841,"
                                            , ,
                                        ",Văn Tới Calisthenics - Nguồn cảm hứng cho hành trình rèn luyện cơ thể,
" 23 Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ","
                                            , ,
                                        ",Swanicoco Viet Nam - Mỹ phẩm chính hãng Hàn Quốc,
" Số 10 Trần Phú, P. Mộ Lao, Q.Hà Đông"," Số 323 Xô Viết Nghệ Tĩnh, P. 24, Q.Bình Thạnh",30Shine - Thương hiệu chăm sóc vẻ đẹp nam giới hàng đầu Việt Nam,https://shop.30shine.com/
" 83/49 Ấp 7, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh", 0938299944 ,Bách Hóa Tổng Hợp - Cô Ba Miền Tây ,https://cobamientay.com
 P.Tương Giang - TP. Từ Sơn - Tỉnh Bắc Ninh, 02223 745 744,Công ty Nam Giang - Bán buôn đồ sơ sinh toàn quốc, congtynamgiang/
" 3L/2 Ngô Sĩ Liên, P14, Q8, TP.HCM", ,Nguyên liệu bột thiên nhiên Thực Thảo - Địa chỉ vàng cho nàng mua bột thiên nhiên nguyên chất,nguyenlieubotthiennhien 
" 69/45A, đường số 3, phường Bình Hòa, Bình Tân, Thành phố Hồ Chí Minh", ,Yellow Ribbon - Sản xuất và phân phối các dòng thời trang trẻ em và gia đình,
" Khu VINCOM, Đường 3/2, Phường 5, Tp. Vị Thanh, Hậu Giang"," Số 203, đường Trần Hưng Đạo, Phường V, Thành phố Vị Thanh, Hậu Giang",Hoàng Giang Food - Nơi cung cấp trái cây và thực phẩm chay uy tín tại Vị Thanh ,
" Chung Cư Cửu Long số 351/31 Nơ Trang Long, Phường 13, Quận Bình Thạnh, Hồ Chí Minh",  089 967 78 99,Nông sản Giọt nắng - Sản phẩm chất lượng cao của người nông dân Việt,https://www.nongsangiotnang.vn/
" 1F Quốc lộ 50, Phường 5, Quận 8, TP. Hồ Chí Minh", 0888070308,PARFUMERIE - Những Cảm Xúc Tuyệt Vời Của Mùi Hương,https://parfumerie.vn
"  149A Phố Huế, Hai Bà Trưng, Hà Nội",  091.641.9999,Hương Anh Spa  - Chăm sóc từ sức khoẻ đến vẻ đẹp của bạn, HASpaYoga/?ref=page_internal
"  20 Lê Thánh Tôn, Ấp Nam Sơn, Thị trấn Núi Sập, Huyện Thoại Sơn, An Giang","
                                            , ,
                                        ",Cửa hàng bách hoá uy tín Giáo Phát An Giang,https://vuongquoccuong.sapopage.com
" 100/2 Nguyễn Đình Chiểu, P.Đa Kao, Q.1"," 7/5 Lê Thị Hà, Tân Xuân, Hóc Môn",Yến Thị Sài Gòn - Sự lựa chọn cho cả nhà ,H.HOutlet 
" 294 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh",  0797 374 277,Dược Trả Góp - Hệ thống phân phối và bán thuốc trả góp trực tuyến tại Việt Nam ,
" Số 17 Đường số 1A, Phường Bình Chiểu, Thành phố Thủ Đức", 0988 139 811,Đàm Lực Piano - Trung tâm Âm nhạc và Nhạc cụ uy tín khu vực Thủ Đức,https://damlucpiano.com
 0868466333,"
                                            , ,
                                        ",Đồ chơi Củ cải - Chuyên sỉ đồ chơi trẻ em,
" 23B Đường Số 1, Khu Dân Cư Bình Chiểu 2, Phường Bình Chiểu, Thành Phố Thủ Đức, Hồ Chí Minh", 0389708878 - 0929760888,Hà Anh Fruits - Chuyên cung cấp sỉ lẻ trái cây nhập khẩu, HaanhfruitsOfficial
" 977 Trần Hưng Đạo, Phường 5, Quận 5, Thành phố Hồ Chí Minh ", 0933 050 068,Lyna Fruits - Cửa hàng trái cây nhập khẩu uy tín ở Sài Gòn ,https://lynafruits.vn
" 793A Ba Đình, Phường 10, Quận 8, TP.HCM", 037 739 9000,Hector Kim Tuyến - Đông trùng hạ thảo ,https://hector.vn
" Đường Suối Dinh, Khu 3, Ấp Lộc Hòa, Xã Tây Hoà, Huyện Trảng Bom, Tỉnh Đồng Nai", 0973424453,Phương My Beauty - Nhà phân phối mỹ phẩm Orenya cao cấp,
" 20 Cộng Hòa, Phường 12, Quận Tân Bình, TP. Hồ Chí Minh", 098 7422 247,FUDO TISSUE - Khăn giấy tre 100% không tẩy trắng,fudovietnam
" 456 Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội", ,KOJA MART - Nâng Tầm Chất Lượng Cuộc Sống Gia Đình,
" Số 524 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội", 0582866666,Small Bear - Chuỗi hệ thống mẹ và bé đẳng cấp quốc tế ,https://smallbear.vn/
" Melosa( Mega Village ) 46 Đường D1, Phường Phú Hữu, TP Thủ Đức, TP. HCM", 0901133856,ROCKnBEER - Thưởng thức bia theo phong cách riêng của bạn,rocknbeer2022 
" Xã Xuân Tây, Huyện Cẩm Mỹ, Tỉnh Đồng Nai   ", 0865646191  ,Dế Mèn Authentic - Săn sale uy tín hàng chính hãng,
" 150 Đồng Xá 2, Phường Cát Bi, Quận Hải An, Hải Phòng, Việt Nam", 0583247247,Hàng Ngoại Ánh Dương - Phân Phối Sỉ Hàng Nội Địa Nhật - Úc,https://hangngoaianhduong.vn
" 97 Nghĩa Phát, Phường 6, Tân Bình, Thành phố Hồ Chí Minh","
                                            , ,
                                        ",Tạp hóa Golden Buy - Giá rẻ nhất xóm,https://goldenbuy.sapopage.com 
"  Phố Đức Tâm, Thị trấn Văn Quan, Huyện Văn Quan, Lạng Sơn", 038 744 1820,Nấm Baby - Thời trang cho mẹ bầu và bé, mebauvaebe
" Số 2 Hàng Ngang, Hoàn Kiếm, Hà Nội", 0333916668 ,3S Mart - Cửa hàng nước giặt xả Good Care nổi tiếng từ thiên nhiên, nuocgiatgoodcare/
 , +1 229-402-2009 ,Tổ chức Giáo Dục Thiện Nguyện Nhịp Cầu Sinh Ngữ,chuongtrinhsinhnguonlinemienphi
" Số nhà 15A, Đường Z30A, Thôn 2A, Xã Đông Hà, Huyện Đức Linh, Bình Thuận", 0819660102 ,Hợp tác xã sản xuất Thương Mại Dịch Vụ Nông Nghiệp Sen Núi,https://sennui.com.vn
" 39 Hai Bà Trưng, Phường Mỹ Long, Thành phố Long Xuyên, An Giang", ,Phòng Khám Mắt BS CK2 Trần Tuấn Huy,
" 188 Bùi Hữu Nghĩa , Ấp Vĩnh Hưng, Xã Long Đức, Thành phố Trà Vinh, Trà Vinh ", 0902530738 ,Cửa hàng Bách Hóa tự chọn Thu Nhanh,
" 317 Huỳnh Văn Lũy, Khu phố 6, Phú Mỹ, Tp. Thủ Dầu Một, Bình Dương", 092 5287 778 ,Cửa hàng Larissa Mart - Chăm sóc sức khỏe và sắc đẹp toàn diện,https://larissamart.com
" 473 Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh", ,Black Rouge Vietnam - Thương hiệu mỹ phẩm quốc dân Hàn Quốc ,
" 17/236 Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội", 058 950 6666, LAN Perfume - Cửa hàng chuyên nước hoa chính hãng nổi tiếng trên Tiktok ,LANPerfumeAuth
" Chợ Giếng Vuông, Phường Vĩnh Trại, Thành phố Lạng Sơn, Lạng Sơn", 0989682826,A Hùng - Tổng kho buôn hàng Trung Quốc giá xưởng,
" S9.0101.S01 The Origami, KĐT Vinhomes Grand Park, P. Long Bình, TP. Thủ Đức", ,"HEY Fruit & Gift - Trái cây sạch, giỏ trái cây uy tín Sài Thành",
 , 0936934388,Tinnshop - Tổng kho sỉ lẻ thời trang trẻ em ,
" 145 Đường số 01, Khu dân cư Vĩnh Lộc, phường Bình Hưng Hòa B, quận Bình Tân, thành phố Hồ Chí Minh", 0889366168,Quỳnh Trần JP - Thực phẩm chức năng chất lượng Nhật Bản ,https://quynhtranjp.vn
" 43/1G Thành Thái, Phường 14, Quận 10, Tp.Hồ Chí Minh", ,Hương Muatour - chuyên hàng nội địa chính hãng,
 098 791 6165 ,"
                                                , ,
                                            ","Miwako VietNam - Sữa hạt hữu cơ Malaysia đạt tiêu chuẩn Mỹ, Châu  u ",https://miwako.com.vn/ 
 N06C-LK61- KDV -Vạn Phúc - Hà Đông - Hà Nội, 098 313 8076,Nhật Bản Shop - Hàng Nhật nội địa chất lượng cao,nhatbanshop.vn/
" 83/1 Quốc Lộ 13 Cũ, P. Hiệp Bình Phước, TP. Thủ Đức, Tp.HCM", 093.111.8348,Kiddie Club Fashion - Thời trang bé yêu,kiddieclubsg
" 106 Bắc Hải - Phường 06 - Tân Bình, Ho Chi Minh City, Vietnam", 090 908 31 30,Emi’s Perfume - Hương thơm quyến rũ, emis.perfume/
" 40a Lương Văn Can, phường 15, quận 8, Thành phố Hồ Chí Minh", 076 772 6387,"Tiệm tạp hóa Ngọc Mai - Tạp hóa đa năng siêu hot, giá rẻ mà chất lượng",
" 69/45A ĐƯỜNG SỐ 3, P. BÌNH HƯNG HÒA, Q. BÌNH TÂN, TP. HCM", 0961 38 65 38,Yellow Ribbon -  Thời trang cho bé,https://yellowribbon.vn/
" 165 Quang Trung - tổ 12 - khu phố 3 - TT Vĩnh An - Vĩnh Cửu - Đồng Nai, Vietnam", 033 634 1517,Diệp Diệp Cosmetic - Cung cấp mỹ phẩm chính hãng, diepdiepcosmetic
" LK248, Huyền Kỳ, Phú Lãm, Hà Đông, Hà Nội", 036 371 8723,"Shop Đồ Chơi Tốt - Chuyên đồ chơi Lego, đồ chơi thông minh",https://muadochoi.online/
" Số 21B5 Nguyễn Cảnh Dị, Phường Đại Kim, Quận Hoàng Mai, Hà Nội", ,Vua Sâm Hàn Quốc - Nhân sâm chất lượng được nhập khẩu từ xứ sở kim chi,
"
                                            , ,
                                        ","
                                            , ,
                                        ",The Hyemin Cafe & Cosmetic - Mô hình cafe kết hợp độc đáo,
" Tổ 4 khu Cửa Ngăn, Phường Phương Đông, Thành phố Uông Bí, Quảng Ninh", 0345945683,Trang Kiumin Store - Thiên đường mua sắm dành cho mẹ và bé,
 25 Vũ Phạm Hàm - Yên Hòa - Cầu Giấy - Hà Nội, S2.05 Vinhomes Smart City - Tây Mỗ - Nam Từ Liêm - Hà Nội,Trang Anh Baby Store - Cửa hàng đồ dùng tiện lợi cho bé yêu,
" 185 Yersin, P. Phú Cường, TP. Thủ Dầu Một, Bình Dương", 0968 21 2014, LaLa Cosmetics - Thiên Đường Mỹ Phẩm Bình Dương,myphamhanquocbinhduonglala
" 86 Đặng Thuỳ Trâm, Cầu Giấy, Hà Nội", 0975.173.190,Bếp Cộng - Thực phẩm sạch Cầu Giấy,https://bepcong.sapo365.net
 170 Bùi Thị Xuân - Tp. Hải Dương - Hải Dương,  39 Nguyễn Văn Cừ - P. Hồng Hải - Tp. Hạ Long,Gấu Healthy Mart - Thực phẩm sạch hữu cơ,
" 30, Tổ 12 mới, phường Sông Hiến, thành phố Cao bằng, tỉnh Cao Bằng", 094 185 02 32,Thời trang trẻ em Thỏ Kids - Sành điệu cùng bé xuống phố,facebook.com/thokidsthoitrangchobeyeu 
" 91 Hoàng Cầu, Đống Đa, Hà Nội", 0935 66 22 92,THE MOHODO - Thương hiệu đồ uống đậm nét tinh hoa từ đất Việt, profile.php?id=100064160079951
"  15/48 Khuông Việt, phường Phú Trung, quận Tân Phú, thành phố Hồ Chí Minh", , Bomines - Hành trình xây dựng thương hiệu từ 15 năm kinh nghiệm,BominesHCM/ 
"  Số 44 tổ 13 Phường Phúc Diễn, Q. Bắc Từ Liêm, Hà Nội.","
                                            , ,
                                        ",Nature’s Mart - Tận dụng công nghệ tạo sự khác biệt ,
" 97/18 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Hồ Chí Minh", 0835 781 794,Thời trang trẻ em MamLa - Nuông chiều tâm hồn & sở thích trẻ thơ,https://mamla.vn
" Số 18, đường 2.3, khu đô thị Gamuda Garden, Phường Trần Phú, quận Hoàng Mai, Thành phố Hà Nội", 0868 323 256,Minh Food - Chuyên cung cấp thực phẩm đông lạnh,https://minhfood.com
" V5A-09, Khu đô thị Văn Phú, Hà Đông, Hà Nội","
                                            , ,
                                        ","Siro Thảo mộc - Thiên Tri Nguyên liệu vườn nhà, thanh sạch tận tâm",https://thientri.vn/siro-thao-moc-thien-tri
"  421 Đường Trường Chinh, Thị trấn Việt Quang, Huyện Bắc Quang, Tỉnh Hà Giang ", 084 928 6222,Cửa hàng Z Mart - Chuyên đồ mẹ và bé chính hãng,facebook.com/ZmartHG
" Số 114, Phú Lương, Phường Phú Lương, Quận Hà Đông, TP. Hà Nội.", ,Gạo Minh An - Gạo ngon của mọi nhà!,facebook.com/thegioigaoviet
" 154/30/6 Phạm Văn Hai, Tp.Hồ Chí Minh","
                                            , ,
                                        ",Grandpa Mart - Món quà dinh dưỡng cho sức khỏe ,
" Số 4 Ngõ 294 Đội Cấn, Hà Nội", 0869007796,Rau củ Đà Lạt Deli - Rau sạch cho mọi nhà ,https://raucudalatdeli.com
" 216 Nguyễn Thị Minh Khai, phường 6, quận 3, Hồ Chí Minh"," Số 5, Lô 1C, Trung Yên 11C, Trung Hòa, Cầu Giấy, Hà Nội",Bếp Bụng Bự - Chuỗi cửa hàng đặc sản vùng miền cao cấp ,
" Khu đô thị Linh Đàm, Quận Hoàng Mai, Hà Nội", ,MEC KIDs - Nơi hội tụ các sản phẩm cho bé, Meckids.vn 
" Ô 6, Lô 1, Đền Lừ 2, Quận Hoàng Mai, Hà Nội, Việt Nam", 0889300966 ,Haki Fashion - Thời trang trẻ em thu hút truyền thông thế giới,https://haki.net.vn/
" 89 Đường số 3 KDC Công Đoàn, p Trường Thọ, tp Thủ Đức"," 121 Y Wuu, Kbang, Gia Lai ",Thảo mộc Voi Rừng ,https://voirung.com
" 512/39 Trường Chinh, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh"," 70/1/5 Ống Nước Thô, Thị xã Dĩ An, Tỉnh Bình Dương",Hàng Thái chính hãng - Chăm sóc sức khỏe và sắc đẹp toàn cầu,https://hangthaichinhhang.net/ 
 71 Thống Nhất - Bình Thọ - TP. Thủ Đức - HCM, ,Chuu Beauty & Spa - Đồng hành cùng vẻ đẹp của phụ nữ Việt,
" Số 313, Quốc lộ 46, Thị Trấn Nam Đàn, Tỉnh Nghệ An ", 097 494 27 77,"Chuỗi siêu thị mẹ và bé Lê Uyên - Địa điểm uy tín, an toàn, chất lượng ",https://leuyen.com.vn
