company_name,product_owner,company_address,phone_number,fax,type,email,representative,landline_number,mst,product
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng albumin
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng albumin
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng acid uric
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Chất hiệu chuẩn xét nghiệm định lượng acetaminophen
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng albumin
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng acetaminophen
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Chất hiệu chuẩn xét nghiệm định lượng acetaminophen
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,"Thuốc thử, chất hiệu chuẩn xét nghiệm định lượng khả năng gắn sắt chưa bão hòa (UIBC)"
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng bổ thể C3
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Bộ IVD xét nghiệm định tính và định lượng β-hCG 
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Bộ IVD xét nghiệm định lượng TSH
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Bộ IVD xét nghiệm định lượng T3 tự do (free T3)
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Chất hiệu chuẩn xét nghiệm định lượng Cortisol
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng acetaminophen
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Thuốc thử xét nghiệm định lượng Cortisol
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Bộ IVD xét nghiệm  định lượng kháng thể IgG của thyroglobulin
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,IVD chiết tách xét nghiệm định lượng Tacrolimus
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,Bộ IVD xét nghiệm định lượng kháng thể IgG kháng TPO
CÔNG TY TNHH FUJIFILM VIỆT NAM,,"Lầu 30, Tòa nhà Saigon Trade Center, số 37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,danghang@fujifilm.com,MOROTA MAMORU,028-39390847,0311169111,Máy bơm nước nội soi
VĂN PHÒNG ĐẠI DIỆN ABBOTT LABORATORIES GMBH TẠI THÀNH PHỐ HÀ NỘI,,"Tầng 7, tầng 8, tháp A, Tòa nhà Handi Resco, số 521 Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vietnamregulatory@abbott.com,Cruz Bella Rose Navarro,02437337486,0103030983,IVD chiết tách xét nghiệm định lượng Sirolimus
CÔNG TY TNHH FUJIFILM VIỆT NAM,,"Lầu 30, Tòa nhà Saigon Trade Center, số 37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,danghang@fujifilm.com,MOROTA MAMORU,028-39390847,0311169111,Bộ xử lý hình ảnh và nguồn sáng nội soi
CÔNG TY TNHH THIẾT BỊ Y TẾ DMED,,"63/18 Âu Dương Lân, Phường 03, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,suongdo@dmed.vn,TRẦN THỤY NHÃ UYÊN,0903346127,0311439872,"Troca nhựa, dùng một lần"
CÔNG TY TNHH THIẾT BỊ Y TẾ DMED,,"63/18 Âu Dương Lân, Phường 03, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,suongdo@dmed.vn,TRẦN THỤY NHÃ UYÊN,0903346127,0311439872,Troca dùng nhiều lần
CÔNG TY TNHH THIẾT BỊ Y TẾ DMED,,"63/18 Âu Dương Lân, Phường 03, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,suongdo@dmed.vn,TRẦN THỤY NHÃ UYÊN,0903346127,0311439872,Dụng cụ phẫu tích dùng trong nội soi và phụ kiện
CÔNG TY TNHH THIẾT BỊ Y TẾ DMED,,"63/18 Âu Dương Lân, Phường 03, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,suongdo@dmed.vn,TRẦN THỤY NHÃ UYÊN,0903346127,0311439872,Kìm kẹp giữ kim bằng kim loại
CÔNG TY TNHH THIẾT BỊ Y TẾ DMED,,"63/18 Âu Dương Lân, Phường 03, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,suongdo@dmed.vn,TRẦN THỤY NHÃ UYÊN,0903346127,0311439872,Dụng cụ hút rửa 
CÔNG TY TNHH ZYANYA GLOBAL VIỆT NAM,,"B-2323, Khối B, Tầng 23 Lô Officetel Khu phức hợp căn hộ Nhật Hoa, 33 Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,bdm@zyanyaglobal.com,NITHYA SIVARAMAKRISHNAN,0903684820,0315125676,Gel bôi bỏng
CÔNG TY TNHH SIEMENS HEALTHCARE,,"Số 33, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngo-dang-huong.dung@siemens-healthineers.com,Fabrice Andre Hugues Leguet,02838262266,0313409143,Máy siêu âm chẩn đoán
CÔNG TY TNHH SIEMENS HEALTHCARE,,"Số 33, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngo-dang-huong.dung@siemens-healthineers.com,Fabrice Andre Hugues Leguet,02838262266,0313409143,Máy siêu âm chẩn đoán
CÔNG TY TNHH SIEMENS HEALTHCARE,,"Số 33, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngo-dang-huong.dung@siemens-healthineers.com,Fabrice Andre Hugues Leguet,02838262266,0313409143,Máy siêu âm chẩn đoán
CÔNG TY TNHH SIEMENS HEALTHCARE,,"Số 33, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngo-dang-huong.dung@siemens-healthineers.com,Fabrice Andre Hugues Leguet,02838262266,0313409143,Máy siêu âm chẩn đoán
CÔNG TY TNHH SIEMENS HEALTHCARE,,"Số 33, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngo-dang-huong.dung@siemens-healthineers.com,Fabrice Andre Hugues Leguet,02838262266,0313409143,Máy siêu âm chẩn đoán
CÔNG TY TNHH SIEMENS HEALTHCARE,,"Số 33, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngo-dang-huong.dung@siemens-healthineers.com,Fabrice Andre Hugues Leguet,02838262266,0313409143,Máy siêu âm chẩn đoán
CÔNG TY TNHH CÔNG NGHỆ QUỐC TẾ PHÚ MỸ,,"K1A Bửu Long, Phường 15, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phumyitc@gmail.com,Lê Hữu Tri,0862853388,0309324289,Hóa chất khử khuẩn dụng cụ
CÔNG TY TNHH THƯƠNG MẠI ÁNH SÁNG XANH,,"TÒA NHÀ TNA BUILDING, SỐ 192-198 NGÔ GIA TỰ, Phường 04, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,bluelight002@gmail.com,HOÀNG THỊ THU TRANG,02838345769,0303588214,Máy đo áp lực thực quản
CÔNG TY TNHH ANDAMAN MEDICAL VIỆT NAM,,"Tầng 12, Tòa nhà Viettel, 285 Cách Mạng Tháng Tám, Phường 12, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,nhi@andamanmed.com,Nguyễn Thị Hằng Nhi,02873065005,0314575640,Hệ thống theo dõi áp suất
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Cụm IVD Nhiễm ký sinh trùng - miễn dịch
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Bộ xét nghiệm định lượng kháng thể IgM kháng HAV
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Bộ xét nghiệm định lượng 17-OH Progesterone
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Bộ xét nghiệm định lượng kháng thể kháng HAV
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Bộ xét nghiệm định lượng Maple Syrup Urine Disease (MSUD)
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Máy phân tích nước tiểu
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Cụm IVD Xét nghiệm đái tháo đường (Hormone)
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Cụm IVD Miễn dịch – Dị ứng
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Bộ xét nghiệm định lượng Phenylalanine
VPĐD KARL STORZ SE & CO. KG TẠI TP.HCM,,"Phòng 1402, lầu 14, 39 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngan.nguyen@karlstorz.com,NGUYỄN TRẦN KHÁNH NGÂN,+84 28 38 238 038,0304646765,Vỏ dụng cụ phẫu tích
CÔNG TY TNHH THƯƠNG MẠI Y TẾ PHÚ GIA,,"218 Đường số 10, Mỹ Kim 2, Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,minh@phugiatrading.vn,Nguyễn Trọng Minh,0913733786,0304222357,Cụm IVD Dấu ấn chức năng tuyến giáp
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - Y TẾ ĐỊNH GIANG,,"203/7 Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hung.digimed@gmail.com,Hà Việt Phong,0937496868,0302422840,Bộ dẫn lưu màng phổi sử dụng kỹ thuật Seldinger
CÔNG TY TNHH PHÂN PHỐI THIẾT BỊ Y TẾ MOSNEURO,,"750/72 Điện Biên Phủ, Phường 10, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,tanya@mosnerv.ru,Nguyễn Thị Diễm Hằng,0912721742,0315988866,Máy đo phân tích khí hô hấp
CÔNG TY TNHH VISIONARY MEDICAL,,"Số 71 ngõ 189 đường Đông Khê, Phường Đông Khê, Quận Ngô Quyền, Thành phố Hải Phòng",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,longhax1@gmail.com,TRẦN THỊ KIM NGÂN,0972178994,0202164480,Dao phẫu thuật nhãn khoa
CÔNG TY TNHH DERMAMED,,"Tòa nhà etown, 364 Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phung.dermamed@gmail.com,Trần Ngọc Mỹ,0909642410,0315728307,Thiết bị làm sạch tế bào chết trên da dùng trong thẩm mỹ
CÔNG TY CỔ PHẨN CÔNG NGHỆ SINH HỌC THỤY AN,,"253/14 Hà Huy Giáp, Khu Phố 3B, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,thuyanmed@gmail.com,Liang Wen Chang,0938082378,0304728672,Phần mềm AI hỗ trợ chẩn đoán di căn não
CÔNG TY TNHH THIẾT BỊ Y TẾ THIÊN NAM,,"163/13/4 Thống Nhất, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ailien@thiennammedical.vn,Nguyễn Phương Huy,0903780586,0306064378,Cụm IVD chất nền
CÔNG TY TNHH Y TẾ THẨM MỸ AIC,,"73-75A Nguyễn Khuyến, Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,dangthaonguyen.theaic@gmail.com,Đỗ Duy Khánh,0909002319,0316723132,Đèn ánh sáng sinh học
CÔNG TY TNHH THIẾT BỊ Y TẾ TRƯỜNG TÍN,,"19P Nguyễn Thị Tần, phường 2, quận 8, TP.  Hồ Chí Minh, Phường 02, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,truongtin@truongtinyte.com.vn,Võ Xuân Trường,0903649539,0304978062,Dây truyền máu / Dây nối áp lực cao / Ống nội khí quản (Có bóng) / Chắn lưỡi (Airway) / Ống cho ăn (ống thông dạ dày) / Dây hút đàm (Có khóa) / Ống thông tiểu (Foley)
CÔNG TY CỔ PHẦN PHÁT TRIỂN THƯƠNG MẠI MEKONG VIỆT NAM,,"A20/21B Quốc lộ 50, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,voquangphuc@hotmail.com,VÕ QUANG PHÚC,0888448866,0312151861,Aluminium Phosphat Simethicone
CÔNG TY TNHH JOHNSON & JOHNSON (VIỆT NAM),,"Tầng 12, Toà nhà Vietcombank, Số 5 Công Trường Mê Linh, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ra-jnjvnhc-jjvnramdd@its.jnj.com,LÊ CHI THÚY DUNG,02839148100,0310671135,Dụng cụ khâu da bằng ghim đa hướng
VĂN PHÒNG ĐẠI DIỆN SMITH & NEPHEW ASIA PACIFIC PTE. LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH,,"Phòng 02, tầng 18, tòa nhà TNR, số 180-192 đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,thanhhuong.phan@smith-nephew.com,"Yen Jia Lin, Jocelyn",N/A,0314520874,"Ống hút, ống thông, dụng cụ nạo hút dùng trong phẫu thuật Mũi "
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,"Hệ thống trộn, phân phối xi măng"
VĂN PHÒNG ĐẠI DIỆN SMITH & NEPHEW ASIA PACIFIC PTE. LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH,,"Phòng 02, tầng 18, tòa nhà TNR, số 180-192 đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,thanhhuong.phan@smith-nephew.com,"Yen Jia Lin, Jocelyn",N/A,0314520874,Dao phẫu thuật và dụng cụ nạo hút vách ngăn mũi
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,Bộ dụng cụ đổ xi măng cột sống cỡ số 2
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,Bộ dụng cụ đổ xi măng cột sống cỡ số 3
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,Bộ dụng cụ đổ xi măng cột sống cỡ số 2
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,Bộ dụng cụ đổ xi măng cột sống cỡ số 2
CÔNG TY TNHH C.P.V,,"016-018 Đường 12C, Phường 03, Quận 4, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,cuong@cpvmed.com,ĐỖ ĐĂNG CƯỜNG,0903981031,0302737632,Phụ tùng máy theo dõi bệnh nhân
